cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
,,,,,LSM14B,SATL1,PIGP,,
,,,,,PSMA7,NAP1L3,DSCR9,,
,,,,,MTG2,TSPAN6,ERG,,
,,,,,GID8,SYTL4,BRWD1,,
,,,,,ARFGAP1,ARMCX2,GET1,,
,,,,,GMEB2,TCEAL5,SH3BGR,,
,,,,,MHENCR,TBC1D8B,C2CD2,,
,,,,,ZGPAT,PSMD10,UMODL1,,
,,,,,PCMTD2,AMMECR1,RSPH1,,
,,,,,SMIM11B,AMOT,SLC37A1,,
,,,,,APP,SLC25A5-AS1,UBE2G2,,
,,,,,LTN1,RNF113A,FAM207A,,
,,,,,USP16,ZBTB33,SPATC1L,,
,,,,,BACH1-AS1,MCTS1,TUBA8,,
,,,,,SCAF4,RAB33A,GNB1L,,
,,,,,TMEM50B,FAM122B,COMT,,
,,,,,SON,FAM122C,DGCR8,,
,,,,,CRYZL1,ARHGEF6,TRMT2A,,
,,,,,MRPS6,MTMR1,DGCR6L,,
,,,,,SMIM11A,NSDHL,THAP7,,
,,,,,VPS26C,BCAP31,SMARCB1,,
,,,,,DYRK1A,SRPK3,SLC2A11,,
,,,,,ETS2,UBL4A,DDTL,,
,,,,,ZBTB21,FAM3A,SPECC1L,,
,,,,,PKNOX1,FUNDC2,SNRPD3,,
,,,,,U2AF1,BRCC3,LRP5L,,
,,,,,TRAPPC10,RAB39B,HPS4,,
,,,,,ICOSLG,CLIC2,SRRD,,
,,,,,POFUT2,IL9R,PITPNB,,
,,,,,LSS,WASIR1,TTC28-AS1,,
,,,,,YBEY,RPS4Y1,TTC28,,
,,,,,DIP2A,PRKY,RHBDD3,,
,,,,,PRMT2,USP9Y,NIPSNAP1,,
,,,,,ESS2,MT-ND1,OSM,,
,,,,,HIRA,MT-CO3,PES1,,
,,,,,UFD1,MT-ND4,MORC2,,
,,,,,ZDHHC8,MT-CYB,DRG1,,
,,,,,CRKL,PLCH2,C22orf24,,
,,,,,HIC2,TMEM51-AS1,HMGXB4,,
,,,,,GUCD1,SLC44A5,EIF3D,,
,,,,,TFIP11,GNLY,MPST,,
,,,,,MIAT,PDCD1,MFNG,,
,,,,,MIATNB,ARPP21,ANKRD54,,
,,,,,HSCB,NSG1,EIF3L,,
,,,,,CCDC117,CXCL6,POLR2F,,
,,,,,RFPL1S,PCDH10,BAIAP2L2,,
,,,,,ZMAT5,SAMD3,PLA2G6,,
,,,,,ASCC2,LAMB4,CSNK1E,,
,,,,,LIF,XKR6,KDELR3,,
,,,,,CASTOR1,EMX2OS,CBY1,,
,,,,,SF3A1,EMX2,ATF4,,
,,,,,RNF215,CD44-AS1,ST13,,
,,,,,TUG1,MIR200CHG,XPNPEP3,,
,,,,,SFI1,KLRB1,DNAJB7,,
,,,,,YWHAH,ST8SIA1,ZC3H7B,,
,,,,,FBXO7,KRT1,XRCC6,,
,,,,,NCF4,SP7,SNU13,,
,,,,,RAC2,C15orf62,A4GALT,,
,,,,,NOL12,PTX4,TTLL1,,
,,,,,DDX17,SHD,SAMM50,,
,,,,,GTPBP1,ZNF208,FBLN1,,
,,,,,APOBEC3C,PBX1,ATXN10,,
,,,,,APOBEC3G,SAMMSON,TRMU,,
,,,,,TAB1,MECOM,C22orf34,,
,,,,,TNRC6B,VEGFC,MAPK11,,
,,,,,SGSM3,TRGV10,ACR,,
,,,,,MRTFA-AS1,PLPP7,RABL2B,,
,,,,,ACO2,DDIT4-AS1,GTPBP6,,
,,,,,SREBF2,DPF3,SLC25A6,,
,,,,,SMDT1,GSC,ASMTL,,
,,,,,NDUFA6,NDN,ARSD-AS1,,
,,,,,POLDIP3,HAR1B,PNPLA4,,
,,,,,CYB5R3,ARSE,TRAPPC2,,
,,,,,PARVG,NPPC,OFD1,,
,,,,,ARHGAP8,PREX2,GEMIN8,,
,,,,,MIRLET7BHG,LINGO2,PDHA1,,
,,,,,PPARA,ESRRG,YY2,,
,,,,,ALG12,SEMA5A,SMS,,
,,,,,PANX2,CACNA1H,RPGR,,
,,,,,TUBGCP6,PEG3,TSPAN7,,
,,,,,HDAC10,KCNQ2,EFHC2,,
,,,,,PPP6R2,CENPVL3,FUNDC1,,
,,,,,LMF2,ATP1A4,ZNF674-AS1,,
,,,,,AKAP17A,GADL1,SLC9A7,,
,,,,,DHRSX,SLC6A20,RGN,,
,,,,,ZBED1,HMX1,NDUFB11,,
,,,,,ARSD,SAMD5,RBM10,,
,,,,,EIF2S3,GFRA1,UXT,,
,,,,,ZFX,LDHC,ZNF81,,
,,,,,MIR222HG,NLRP11,FTSJ1,,
,,,,,UBA1,NLGN4X,PCSK1N,,
,,,,,INE1,ZNF98,CCDC120,,
,,,,,CDK16,ZNF99,CACNA1F,,
,,,,,SYN1,MINDY4B,GSPT2,,
,,,,,ELK1,,MAGED1,,
,,,,,ZNF630,,KANTR,,
,,,,,RBM3,,KDM5C-IT1,,
,,,,,WDR13,,TRO,,
,,,,,TIMM17B,,FAM104B,,
,,,,,OTUD5,,MAGEH1,,
,,,,,GPKOW,,SPIN2B,,
,,,,,CCDC22,,SPIN2A,,
,,,,,KDM5C,,ZXDA,,
,,,,,GNL3L,,EDA2R,,
,,,,,SPIN3,,IL2RG,,
,,,,,YIPF6,,MED12,,
,,,,,EFNB1,,NLGN3,,
,,,,,IGBP1,,OGT,,
,,,,,PDZD11,,CITED1,,
,,,,,SNX12,,FAM226B,,
,,,,,TAF1,,CHIC1,,
,,,,,FTX,,ABCB7,,
,,,,,RLIM,,PBDC1,,
,,,,,UPRT,,ATRX,,
,,,,,ATP7A,,P2RY10,,
,,,,,HDX,,GPR174,,
,,,,,CHM,,APOOL,,
,,,,,TRMT2B,,ARMCX1,,
,,,,,BTK,,ARMCX6,,
,,,,,GLA,,ZMAT1,,
,,,,,ARMCX4,,TMSB15A,,
,,,,,ARMCX3,,ARMCX5,,
,,,,,ARMCX5-GPRASP2,,GPRASP2,,
,,,,,GPRASP1,,BEX4,,
,,,,,MORF4L2-AS1,,TCEAL8,,
,,,,,RBM41,,BEX2,,
,,,,,ATG4A,,TCEAL1,,
,,,,,TMEM164,,MORF4L2,,
,,,,,ALG13,,RAB9B,,
,,,,,CXorf56,,TMSB15B-AS1,,
,,,,,UBE2A,,ZCCHC18,,
,,,,,NKAP,,PGRMC1,,
,,,,,CUL4B,,SLC25A5,,
,,,,,C1GALT1C1,,SEPTIN6,,
,,,,,STAG2,,UPF3B,,
,,,,,XPNPEP2,,RHOXF1,,
,,,,,BCORL1,,THOC2,,
,,,,,RBMX2,,TENM1,,
,,,,,MBNL3,,OCRL,,
,,,,,MOSPD1,,AIFM1,,
,,,,,INTS6L,,PHF6,,
,,,,,ATP11C,,FHL1,,
,,,,,CXorf40A,,HTATSF1,,
,,,,,TMEM185A,,VMA21,,
,,,,,CXorf40B,,ZNF275,,
,,,,,CD99L2,,SSR4,,
,,,,,CCNQ,,RPL10,,
,,,,,ARHGAP4,,VBP1,,
,,,,,TMEM187,,TMSB4Y,,
,,,,,EMD,,EIF1AY,,
,,,,,TAZ,,MT-ND2,,
,,,,,GAB3,,MT-CO2,,
,,,,,MPP1,,MT-ATP6,,
,,,,,F8A1,,IGKV2-24,,
,,,,,TMLHE-AS1,,SEMA3B,,
,,,,,ZFY,,CLRN1-AS1,,
,,,,,UTY,,ZNF595,,
,,,,,TTTY14,,DOK7,,
,,,,,KDM5D,,UNCX,,
,,,,,TTTY10,,TWIST1,,
,,,,,MT-ND3,,INHBA-AS1,,
,,,,,MAFIP,,PLAT,,
,,,,,BMS1P14,,GML,,
,,,,,PDZD3,,TCL1A,,
,,,,,KLRK1,,TP53TG3D,,
,,,,,OVCH1-AS1,,TMEM98,,
,,,,,IGHA1,,DLL3,,
,,,,,IGHG1,,DLG3,,
,,,,,P2RX6,,TBL1Y,,
,,,,,2-Mar,,SPDYE6,,
,,,,,HOTTIP,,PDE2A,,
,,,,,ZFP37,,MYZAP,,
,,,,,TSIX,,C5orf17,,
,,,,,XIST,,DDX43,,
,,,,,,,ZAN,,
,,,,,,,LRCH2,,
,,,,,,,PLS3,,
,,,,,,,MYO18B,,
,,,,,,,ZFPM2-AS1,,
